"Título de trazado: JTU-01-PT-63"
"N.º","Fecha Tiempo, GMT-05:00","Precipitacion, mm (LGR S/N: 10390582, SEN S/N: 10390582)","Final de archivo (LGR S/N: 10390582)"
1,10/08/16 11:24:39,0.0,
2,10/08/16 22:39:26,0.1,
3,11/08/16 00:23:21,0.2,
4,11/08/16 02:32:52,0.3,
5,11/08/16 06:15:47,0.4,
6,11/08/16 06:43:33,0.5,
7,11/08/16 06:58:35,0.6,
8,11/08/16 07:19:29,0.7,
9,12/08/16 14:21:57,0.8,
10,12/08/16 14:24:10,0.9,
11,12/08/16 14:26:28,1.0,
12,12/08/16 14:28:02,1.1,
13,12/08/16 14:28:58,1.2,
14,12/08/16 14:29:46,1.3,
15,12/08/16 14:30:43,1.4,
16,12/08/16 14:33:13,1.5,
17,12/08/16 14:35:00,1.6,
18,12/08/16 14:37:20,1.7,
19,12/08/16 14:40:00,1.8,
20,12/08/16 14:48:23,1.9,
21,12/08/16 15:06:47,2.0,
22,12/08/16 15:12:40,2.1,
23,12/08/16 15:14:31,2.2,
24,12/08/16 15:17:23,2.3,
25,12/08/16 15:20:15,2.4,
26,12/08/16 15:30:12,2.5,
27,12/08/16 15:31:36,2.6,
28,12/08/16 15:34:52,2.7,
29,12/08/16 16:01:00,2.8,
30,12/08/16 16:04:46,2.9,
31,12/08/16 16:05:59,3.0,
32,12/08/16 16:07:11,3.1,
33,12/08/16 16:08:15,3.2,
34,12/08/16 16:10:10,3.3,
35,12/08/16 16:12:02,3.4,
36,12/08/16 16:12:51,3.5,
37,12/08/16 16:13:27,3.6,
38,12/08/16 16:14:33,3.7,
39,12/08/16 16:15:27,3.8,
40,12/08/16 16:17:04,3.9,
41,12/08/16 16:18:55,4.0,
42,12/08/16 16:20:28,4.1,
43,12/08/16 16:21:23,4.2,
44,12/08/16 16:22:55,4.3,
45,12/08/16 16:24:08,4.4,
46,12/08/16 16:26:54,4.5,
47,12/08/16 16:29:29,4.6,
48,12/08/16 16:31:00,4.7,
49,12/08/16 16:31:54,4.8,
50,12/08/16 16:33:11,4.9,
51,12/08/16 16:36:23,5.0,
52,12/08/16 16:50:31,5.1,
53,12/08/16 17:23:12,5.2,
54,12/08/16 22:34:12,5.3,
55,13/08/16 08:55:38,5.4,
56,17/08/16 21:37:39,5.5,
57,17/08/16 21:47:38,5.6,
58,17/08/16 21:58:25,5.7,
59,17/08/16 22:20:50,5.8,
60,17/08/16 22:37:05,5.9,
61,17/08/16 22:47:41,6.0,
62,17/08/16 23:02:26,6.1,
63,17/08/16 23:19:55,6.2,
64,18/08/16 05:56:47,6.3,
65,18/08/16 08:17:39,6.4,
66,18/08/16 10:04:35,6.5,
67,19/08/16 12:43:07,6.6,
68,19/08/16 12:43:52,6.7,
69,19/08/16 12:44:58,6.8,
70,19/08/16 12:46:14,6.9,
71,19/08/16 12:47:11,7.0,
72,19/08/16 12:47:53,7.1,
73,19/08/16 12:48:38,7.2,
74,19/08/16 12:51:19,7.3,
75,19/08/16 12:53:26,7.4,
76,19/08/16 12:53:55,7.5,
77,19/08/16 12:54:14,7.6,
78,19/08/16 12:54:58,7.7,
79,19/08/16 12:55:28,7.8,
80,19/08/16 12:56:07,7.9,
81,19/08/16 12:56:32,8.0,
82,19/08/16 12:57:07,8.1,
83,19/08/16 12:57:40,8.2,
84,19/08/16 12:59:50,8.3,
85,19/08/16 13:07:38,8.4,
86,19/08/16 13:08:19,8.5,
87,19/08/16 13:09:12,8.6,
88,19/08/16 13:12:08,8.7,
89,19/08/16 13:14:18,8.8,
90,19/08/16 13:19:18,8.9,
91,19/08/16 13:20:39,9.0,
92,19/08/16 13:21:38,9.1,
93,19/08/16 13:22:16,9.2,
94,19/08/16 13:23:47,9.3,
95,19/08/16 13:25:15,9.4,
96,19/08/16 13:26:32,9.5,
97,19/08/16 13:28:07,9.6,
98,19/08/16 13:30:36,9.7,
99,19/08/16 13:32:10,9.8,
100,19/08/16 13:35:57,9.9,
101,19/08/16 13:37:26,10.0,
102,19/08/16 13:39:40,10.1,
103,19/08/16 13:42:01,10.2,
104,19/08/16 13:43:26,10.3,
105,19/08/16 13:44:08,10.4,
106,19/08/16 13:46:54,10.5,
107,19/08/16 13:48:12,10.6,
108,19/08/16 13:48:48,10.7,
109,19/08/16 13:49:28,10.8,
110,19/08/16 13:50:41,10.9,
111,19/08/16 13:54:46,11.0,
112,19/08/16 13:56:52,11.1,
113,19/08/16 13:59:19,11.2,
114,19/08/16 14:05:43,11.3,
115,19/08/16 14:07:44,11.4,
116,19/08/16 14:10:09,11.5,
117,19/08/16 14:13:22,11.6,
118,19/08/16 14:15:55,11.7,
119,19/08/16 14:17:18,11.8,
120,19/08/16 14:19:07,11.9,
121,19/08/16 14:20:13,12.0,
122,19/08/16 14:21:31,12.1,
123,19/08/16 14:22:33,12.2,
124,19/08/16 14:27:06,12.3,
125,19/08/16 14:31:16,12.4,
126,19/08/16 14:40:06,12.5,
127,19/08/16 14:43:44,12.6,
128,19/08/16 14:50:13,12.7,
129,19/08/16 14:53:04,12.8,
130,19/08/16 14:55:21,12.9,
131,19/08/16 14:58:53,13.0,
132,19/08/16 15:02:42,13.1,
133,19/08/16 15:03:12,13.2,
134,19/08/16 15:04:21,13.3,
135,19/08/16 15:05:28,13.4,
136,19/08/16 15:06:46,13.5,
137,19/08/16 15:07:46,13.6,
138,19/08/16 15:09:41,13.7,
139,19/08/16 15:11:30,13.8,
140,19/08/16 15:27:45,13.9,
141,19/08/16 15:44:50,14.0,
142,19/08/16 15:54:54,14.1,
143,19/08/16 16:12:05,14.2,
144,19/08/16 16:17:14,14.3,
145,19/08/16 16:20:47,14.4,
146,19/08/16 16:23:24,14.5,
147,19/08/16 16:33:44,14.6,
148,19/08/16 17:25:31,14.7,
149,19/08/16 17:28:16,14.8,
150,19/08/16 17:33:43,14.9,
151,19/08/16 18:12:15,15.0,
152,19/08/16 18:28:08,15.1,
153,19/08/16 18:31:34,15.2,
154,19/08/16 18:45:59,15.3,
155,19/08/16 21:34:44,15.4,
156,19/08/16 23:37:42,15.5,
157,20/08/16 02:50:49,15.6,
158,20/08/16 05:13:35,15.7,
159,22/08/16 19:56:38,15.8,
160,22/08/16 20:02:40,15.9,
161,22/08/16 20:05:22,16.0,
162,22/08/16 20:10:24,16.1,
163,22/08/16 20:11:56,16.2,
164,22/08/16 20:13:07,16.3,
165,22/08/16 20:14:03,16.4,
166,22/08/16 20:17:18,16.5,
167,22/08/16 20:20:56,16.6,
168,22/08/16 20:25:04,16.7,
169,22/08/16 20:31:24,16.8,
170,22/08/16 20:45:43,16.9,
171,22/08/16 21:02:50,17.0,
172,22/08/16 21:11:10,17.1,
173,22/08/16 21:14:26,17.2,
174,22/08/16 21:19:10,17.3,
175,22/08/16 21:22:29,17.4,
176,22/08/16 21:30:01,17.5,
177,22/08/16 21:49:21,17.6,
178,22/08/16 22:15:19,17.7,
179,22/08/16 23:13:47,17.8,
180,25/08/16 14:10:12,17.9,
181,25/08/16 14:24:08,18.0,
182,25/08/16 14:29:02,18.1,
183,25/08/16 14:31:26,18.2,
184,25/08/16 14:33:29,18.3,
185,25/08/16 14:37:43,18.4,
186,25/08/16 14:58:35,18.5,
187,25/08/16 15:00:21,18.6,
188,25/08/16 15:01:31,18.7,
189,25/08/16 15:07:38,18.8,
190,25/08/16 15:28:21,18.9,
191,25/08/16 15:57:44,19.0,
192,25/08/16 16:00:29,19.1,
193,25/08/16 16:02:16,19.2,
194,25/08/16 16:06:29,19.3,
195,25/08/16 16:10:24,19.4,
196,25/08/16 16:20:15,19.5,
197,25/08/16 16:35:33,19.6,
198,25/08/16 16:46:46,19.7,
199,25/08/16 16:48:57,19.8,
200,25/08/16 17:48:20,19.9,
201,25/08/16 20:33:59,20.0,
202,25/08/16 20:41:16,20.1,
203,25/08/16 20:44:53,20.2,
204,25/08/16 20:49:06,20.3,
205,25/08/16 20:51:35,20.4,
206,25/08/16 20:59:30,20.5,
207,25/08/16 23:11:51,20.6,
208,26/08/16 01:36:35,20.7,
209,26/08/16 01:40:06,20.8,
210,26/08/16 01:48:09,20.9,
211,26/08/16 01:52:36,21.0,
212,26/08/16 01:59:03,21.1,
213,26/08/16 02:07:43,21.2,
214,26/08/16 05:16:09,21.3,
215,26/08/16 05:23:29,21.4,
216,26/08/16 05:38:23,21.5,
217,26/08/16 05:48:38,21.6,
218,26/08/16 06:00:11,21.7,
219,26/08/16 06:13:15,21.8,
220,26/08/16 06:35:10,21.9,
221,26/08/16 06:57:30,22.0,
222,26/08/16 07:05:58,22.1,
223,26/08/16 07:20:12,22.2,
224,26/08/16 07:35:10,22.3,
225,26/08/16 09:12:03,22.4,
226,26/08/16 11:41:23,22.5,
227,26/08/16 11:49:26,22.6,
228,26/08/16 12:15:38,22.7,
229,26/08/16 12:27:17,22.8,
230,26/08/16 12:31:59,22.9,
231,26/08/16 12:34:10,23.0,
232,26/08/16 12:38:12,23.1,
233,26/08/16 12:41:18,23.2,
234,26/08/16 12:43:29,23.3,
235,26/08/16 12:45:39,23.4,
236,26/08/16 12:55:39,23.5,
237,26/08/16 13:34:13,23.6,
238,26/08/16 13:56:11,23.7,
239,26/08/16 14:00:30,23.8,
240,26/08/16 14:06:11,23.9,
241,26/08/16 14:16:43,24.0,
242,26/08/16 14:38:16,24.1,
243,26/08/16 14:44:18,24.2,
244,26/08/16 15:09:42,24.3,
245,26/08/16 15:15:10,24.4,
246,26/08/16 15:30:24,24.5,
247,26/08/16 15:34:21,24.6,
248,26/08/16 15:47:53,24.7,
249,26/08/16 15:49:44,24.8,
250,26/08/16 15:51:43,24.9,
251,26/08/16 15:57:46,25.0,
252,26/08/16 15:59:29,25.1,
253,26/08/16 16:01:55,25.2,
254,26/08/16 16:07:40,25.3,
255,26/08/16 18:22:22,25.4,
256,26/08/16 18:33:16,25.5,
257,26/08/16 18:57:01,25.6,
258,27/08/16 08:19:09,25.7,
259,31/08/16 19:53:25,25.8,
260,31/08/16 19:57:14,25.9,
261,31/08/16 20:04:06,26.0,
262,31/08/16 20:09:22,26.1,
